"sample"	"strain"	"median"
"T12_AB16_I1_REP3"	"2659"	0
"T12_AB16_I1_REP3"	"1279"	0
"T12_AB16_I1_REP3"	"1992"	2
"T12_AB16_I1_REP3"	"1966"	0
"T12_AB16_I1_REP3"	"97"	0
"T12_AB16_I1_REP3"	"2164"	0
"T12_AB16_I1_REP3"	"1896"	44
"T12_AB16_I1_REP3"	"105"	14
"T12_AB16_I1_REP3"	"1874"	8
"T12_AB16_I1_REP3"	"1923"	9
"T12_AB16_I1_REP3"	"1287"	262
"T12_AB16_I1_REP3"	"3031"	11
"T12_AB16_I1_REP3"	"216"	2
"T12_AB16_I1_REP3"	"1299"	0
"T12_AB16_I1_REP3"	"1977"	432
"T12_AB16_I1_REP3"	"2160"	7
"T12_AB16_I1_REP3"	"3237"	0
"T12_AB16_I1_REP3"	"403"	42
"T12_AB16_I1_REP3"	"2467"	0
